"","PlantID","Seed","Observer","Date","Notes","Harvest","Block","Plot","Position","Warming","Mow","DT1","DT2","DT3","DT4","DT5","DT6","DT7","DT8","DT9","DT10","DT.Avg","SeedLength","SeedWidth","FieldDiameter","Diameter","Peduncle.","Emrg","eggCases","Cysts","goodSeed","badSeed","DateMowed","MaxHeightPostMow"
"60","10_2_1",6,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.13,2.09,NA,NA,NA,NA,NA,NA,NA,NA,2.11,19.01,18.67,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"61","10_2_1",7,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.19,2.13,NA,NA,NA,NA,NA,NA,NA,NA,2.16,20.78,19.27,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"62","10_2_1",8,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.28,2.28,NA,NA,NA,NA,NA,NA,NA,NA,2.28,19.09,22.01,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"63","10_2_1",9,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.25,2.28,NA,NA,NA,NA,NA,NA,NA,NA,2.27,21.33,25.92,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"64","10_2_1",10,"RMC","4/25/2016",NA,"7/24/2015",10,2,1,"A","CTL",2.47,2.47,NA,NA,NA,NA,NA,NA,NA,NA,2.47,20.47,18.68,45.14,29.64,"Y",0,0,0,150,20,NA,73.7
"65","10_2_2",1,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.56,1.66,NA,NA,NA,NA,NA,NA,NA,NA,1.61,16.21,12.63,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"66","10_2_2",1,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.6,1.62,NA,NA,NA,NA,NA,NA,NA,NA,1.61,17,14.04,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"67","10_2_2",2,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.63,1.66,NA,NA,NA,NA,NA,NA,NA,NA,1.65,14.55,10.29,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"68","10_2_2",2,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",2.85,2.75,NA,NA,NA,NA,NA,NA,NA,NA,2.8,16.17,22.48,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"69","10_2_2",3,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.53,1.6,NA,NA,NA,NA,NA,NA,NA,NA,1.57,16.7,12.61,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"70","10_2_2",3,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.81,1.71,NA,NA,NA,NA,NA,NA,NA,NA,1.76,16.71,17.48,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"71","10_2_2",4,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.28,1.37,NA,NA,NA,NA,NA,NA,NA,NA,1.33,17.06,9.09,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"72","10_2_2",4,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",2.13,2.12,NA,NA,NA,NA,NA,NA,NA,NA,2.13,17.47,16.34,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"73","10_2_2",5,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.69,1.69,NA,NA,NA,NA,NA,NA,NA,NA,1.69,12.43,22.62,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"74","10_2_2",5,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",2.28,2.32,NA,NA,NA,NA,NA,NA,NA,NA,2.3,17.15,16.72,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"75","10_2_2",6,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.35,1.38,NA,NA,NA,NA,NA,NA,NA,NA,1.37,13.74,19.62,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"76","10_2_2",6,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,17.45,12.16,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"77","10_2_2",7,"RMC","4/21/2016",NA,"7/31/2015",10,2,2,"A","E",1.35,1.34,NA,NA,NA,NA,NA,NA,NA,NA,1.35,11.89,15.08,48.26,31.06,"Y",0,0,0,115,100,"6/5/2015",62.5
"78","10_2_2",7,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.66,1.56,NA,NA,NA,NA,NA,NA,NA,NA,1.61,16.88,11.69,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
"79","10_2_2",8,"RMC","4/28/2016",NA,"7/31/2015",10,2,2,"A","E",1.91,1.97,NA,NA,NA,NA,NA,NA,NA,NA,1.94,16.43,14.17,46.34,32.87,"Y",0,0,0,98,140,"6/5/2015",62.5
